county,municipality,Kvotflykting,of_which_unaccompanied_minors,Ordnat,of_which_unaccompanied_minors.1,Eget,of_which_unaccompanied_minors.2,Övriga,of_which_unaccompanied_minors.3,Anhöriga,of_which_unaccompanied_minors.4,total,of_which_unaccompanied_minors.5
,VÄSTERVIK,3.0,0.0,47.0,16.0,156.0,6.0,2.0,1.0,81.0,0.0,289.0,23.0
KALMAR LÄN,Delsumma,125.0,0.0,307.0,85.0,1237.0,72.0,25.0,2.0,607.0,1.0,2301.0,160.0
KRONOBERGS LÄN,ALVESTA,0.0,0.0,15.0,7.0,128.0,10.0,0.0,0.0,67.0,0.0,210.0,17.0
,LESSEBO,0.0,0.0,6.0,5.0,112.0,9.0,3.0,2.0,119.0,0.0,240.0,16.0
,LJUNGBY,0.0,0.0,23.0,9.0,63.0,3.0,4.0,0.0,44.0,0.0,134.0,12.0
,MARKARYD,4.0,0.0,17.0,6.0,88.0,5.0,1.0,0.0,78.0,0.0,188.0,11.0
,TINGSRYD,14.0,0.0,29.0,6.0,95.0,6.0,6.0,0.0,49.0,0.0,193.0,12.0
,UPPVIDINGE,0.0,0.0,65.0,3.0,54.0,10.0,2.0,0.0,40.0,0.0,161.0,13.0
,VÄXJÖ,0.0,0.0,23.0,10.0,226.0,15.0,7.0,0.0,173.0,0.0,429.0,25.0
,ÄLMHULT,11.0,0.0,3.0,2.0,62.0,1.0,0.0,0.0,16.0,0.0,92.0,3.0
KRONOBERGS LÄN,Delsumma,29.0,0.0,181.0,48.0,828.0,59.0,23.0,2.0,586.0,0.0,1647.0,109.0
NORRBOTTENS LÄN,ARJEPLOG,3.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,21.0,0.0,32.0,3.0
,ARVIDSJAUR,1.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,18.0,0.0,34.0,0.0
,BODEN,0.0,0.0,13.0,10.0,105.0,3.0,1.0,0.0,82.0,0.0,201.0,13.0
,GÄLLIVARE,0.0,0.0,7.0,7.0,16.0,0.0,1.0,0.0,14.0,0.0,38.0,7.0
,HAPARANDA,16.0,0.0,7.0,5.0,17.0,0.0,0.0,0.0,19.0,0.0,59.0,5.0
,JOKKMOKK,14.0,0.0,8.0,5.0,12.0,0.0,0.0,0.0,17.0,0.0,51.0,5.0
,KALIX,7.0,1.0,15.0,7.0,7.0,2.0,0.0,0.0,5.0,0.0,34.0,10.0
,KIRUNA,0.0,0.0,7.0,7.0,36.0,3.0,1.0,0.0,19.0,0.0,63.0,10.0
,LULEÅ,15.0,0.0,41.0,8.0,36.0,5.0,0.0,0.0,21.0,0.0,113.0,13.0
,PAJALA,3.0,0.0,12.0,1.0,6.0,0.0,0.0,0.0,4.0,0.0,25.0,1.0
,PITEÅ,31.0,2.0,52.0,10.0,3.0,0.0,0.0,0.0,13.0,0.0,99.0,12.0
,ÄLVSBYN,6.0,0.0,15.0,5.0,21.0,0.0,0.0,0.0,11.0,0.0,53.0,5.0
,ÖVERKALIX,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,36.0,2.0
,ÖVERTORNEÅ,5.0,0.0,15.0,8.0,2.0,2.0,0.0,0.0,9.0,0.0,31.0,10.0
NORRBOTTENS LÄN,Delsumma,110.0,3.0,211.0,78.0,267.0,15.0,3.0,0.0,278.0,0.0,869.0,96.0
SKÅNE LÄN,BJUV,0.0,0.0,12.0,5.0,38.0,0.0,0.0,0.0,25.0,0.0,75.0,5.0
,BROMÖLLA,10.0,0.0,17.0,10.0,54.0,4.0,7.0,0.0,25.0,0.0,113.0,14.0
,BURLÖV,0.0,0.0,2.0,2.0,21.0,1.0,0.0,0.0,43.0,0.0,66.0,3.0
,BÅSTAD,0.0,0.0,6.0,2.0,31.0,1.0,0.0,0.0,27.0,0.0,64.0,3.0
,ESLÖV,8.0,0.0,25.0,20.0,43.0,2.0,1.0,0.0,22.0,0.0,99.0,22.0
,HELSINGBORG,0.0,0.0,19.0,14.0,473.0,20.0,5.0,0.0,268.0,0.0,765.0,34.0
,HÄSSLEHOLM,4.0,0.0,20.0,12.0,242.0,10.0,6.0,1.0,122.0,0.0,394.0,23.0
,HÖGANÄS,0.0,0.0,9.0,6.0,34.0,2.0,0.0,0.0,9.0,0.0,52.0,8.0
,HÖRBY,0.0,0.0,7.0,6.0,15.0,2.0,5.0,0.0,17.0,0.0,44.0,8.0
,HÖÖR,0.0,0.0,6.0,6.0,5.0,1.0,0.0,0.0,3.0,0.0,14.0,7.0
