county,municipality,0-17,of_which_unaccompanied_minors,18-19,of_which_unaccompanied_minors.1,20-64,of_which_unaccompanied_minors.2,>64,of_which_unaccompanied_minors.3,total,of_which_unaccompanied_minors.4
,ESLÖV,49.0,21.0,3.0,1.0,46.0,0.0,1.0,0.0,99.0,22.0
,HELSINGBORG,291.0,25.0,23.0,8.0,443.0,1.0,8.0,0.0,765.0,34.0
,HÄSSLEHOLM,166.0,21.0,12.0,1.0,213.0,1.0,3.0,0.0,394.0,23.0
,HÖGANÄS,23.0,7.0,1.0,1.0,28.0,0.0,0.0,0.0,52.0,8.0
,HÖRBY,26.0,6.0,1.0,1.0,17.0,1.0,0.0,0.0,44.0,8.0
,HÖÖR,7.0,7.0,1.0,0.0,6.0,0.0,0.0,0.0,14.0,7.0
,KLIPPAN,25.0,2.0,1.0,0.0,23.0,0.0,0.0,0.0,49.0,2.0
,KRISTIANSTAD,210.0,29.0,28.0,9.0,339.0,1.0,9.0,0.0,586.0,39.0
,KÄVLINGE,14.0,2.0,4.0,2.0,18.0,0.0,0.0,0.0,36.0,4.0
,LANDSKRONA,115.0,17.0,5.0,2.0,164.0,0.0,2.0,0.0,286.0,19.0
,LOMMA,12.0,5.0,0.0,0.0,6.0,1.0,0.0,0.0,18.0,6.0
,LUND,69.0,12.0,2.0,1.0,94.0,0.0,0.0,0.0,165.0,13.0
,MALMÖ,644.0,74.0,54.0,13.0,905.0,9.0,16.0,0.0,1619.0,96.0
,OSBY,99.0,9.0,3.0,2.0,83.0,0.0,2.0,0.0,187.0,11.0
,PERSTORP,33.0,6.0,4.0,0.0,51.0,0.0,0.0,0.0,88.0,6.0
,SIMRISHAMN,98.0,11.0,12.0,3.0,125.0,0.0,0.0,0.0,235.0,14.0
,SJÖBO,19.0,7.0,0.0,0.0,24.0,0.0,0.0,0.0,43.0,7.0
,SKURUP,22.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,43.0,3.0
,STAFFANSTORP,5.0,3.0,1.0,0.0,9.0,0.0,1.0,1.0,16.0,4.0
,SVALÖV,34.0,13.0,4.0,4.0,39.0,0.0,1.0,0.0,78.0,17.0
,SVEDALA,21.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,37.0,3.0
,TOMELILLA,32.0,4.0,7.0,2.0,32.0,1.0,0.0,0.0,71.0,7.0
,TRELLEBORG,50.0,12.0,11.0,6.0,63.0,0.0,0.0,0.0,124.0,18.0
,VELLINGE,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,2.0
