county,citizenship,Kvotflykting,of_which_unaccompanied_minors,Ordnat,of_which_unaccompanied_minors.1,Eget,of_which_unaccompanied_minors.2,Övriga,of_which_unaccompanied_minors.3,Anhöriga,of_which_unaccompanied_minors.4,total,of_which_unaccompanied_minors.5
,UGANDA,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
,UKRAINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,UNDER UTREDNING,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0
DALARNAS LÄN,Delsumma,96.0,3.0,383.0,123.0,1303.0,71.0,29.0,0.0,493.0,0.0,2304.0,197.0
GOTLANDS LÄN,AFGHANISTAN,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,10.0,0.0,14.0,4.0
,ERITREA,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,4.0
,LIBYEN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,MAROCKO,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
,SOMALIA,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
,STATEN PALESTINA,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
,STATSLÖS,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0
,SYRIEN,11.0,0.0,11.0,2.0,8.0,0.0,0.0,0.0,27.0,0.0,57.0,2.0
GOTLANDS LÄN,Delsumma,11.0,0.0,27.0,13.0,19.0,1.0,0.0,0.0,44.0,0.0,101.0,14.0
GÄVLEBORGS LÄN,AFGHANISTAN,9.0,0.0,24.0,24.0,13.0,4.0,2.0,0.0,39.0,0.0,87.0,28.0
,ALBANIEN,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
,ARMENIEN,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
,AZERBAJDZJAN,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
,BURUNDI,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
,COLOMBIA,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0
,DEM REPUBLIKEN KONGO,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,47.0,0.0
,DJIBOUTI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,ECUADOR,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,EGYPTEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,ERITREA,3.0,0.0,121.0,56.0,757.0,17.0,2.0,0.0,108.0,0.0,991.0,73.0
,ETIOPIEN,14.0,0.0,4.0,4.0,4.0,1.0,1.0,0.0,17.0,0.0,40.0,5.0
,GAMBIA,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0
,GHANA,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
,GUINEA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,IRAK,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,10.0,0.0,22.0,2.0
,IRAN,1.0,0.0,3.0,0.0,13.0,0.0,1.0,1.0,1.0,0.0,19.0,1.0
,JEMEN,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
,JORDANIEN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
,KAZAKSTAN,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
,KIRGIZISTAN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,KOSOVO,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
,KUBA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,LIBYEN,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
,MAKEDONIEN,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
,MAROCKO,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
,NIGERIA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
,OKÄNT,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
,PAKISTAN,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
,RUMÄNIEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,RYSSLAND,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0
,SENEGAL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,SOMALIA,5.0,0.0,10.0,10.0,25.0,6.0,0.0,0.0,73.0,0.0,113.0,16.0
,STATEN PALESTINA,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0
,STATSLÖS,24.0,0.0,12.0,3.0,77.0,5.0,1.0,0.0,73.0,0.0,187.0,8.0
,SUDAN,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,9.0,1.0
,SYRIEN,59.0,0.0,46.0,8.0,466.0,29.0,10.0,0.0,407.0,0.0,988.0,37.0
,TUNISIEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,TURKIET,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,3.0,0.0,10.0,0.0
,UGANDA,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,1.0
,UKRAINA,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
,UNDER UTREDNING,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0
,UZBEKISTAN,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
GÄVLEBORGS LÄN,Delsumma,172.0,0.0,238.0,112.0,1434.0,69.0,21.0,1.0,759.0,0.0,2624.0,182.0
HALLANDS LÄN,AFGHANISTAN,0.0,0.0,11.0,9.0,5.0,0.0,0.0,0.0,8.0,0.0,24.0,9.0
,ARMENIEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,EGYPTEN,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
